"registro_id","tesis_id","tecnica_id","lugar","created_at","updated_at","error_id"
"1","1","1","Técnicas e instrumentos",NULL,NULL,"1"
"2","1","2","Análisis e interpretación de la información",NULL,NULL,"2"
"3","1","3","Análisis e interpretación de la información",NULL,NULL,"2"
"4","1","4","Análisis e interpretación de la información",NULL,NULL,"2"
"5","1","5","Análisis e interpretación de la información",NULL,NULL,"2"
"6","1","6","Análisis e interpretación de la información",NULL,NULL,"3"
"7","2","1","Técnicas e instrumentos",NULL,NULL,"1"
"8","2","7","Técnicas e instrumentos",NULL,NULL,"4"
"9","2","8","Técnicas e instrumentos",NULL,NULL,"1"
"10","2","9","Técnicas e instrumentos",NULL,NULL,"1"
"11","2","10","Técnicas e instrumentos",NULL,NULL,"5"
"13","2","12","Análisis e interpretación de la información",NULL,NULL,"2"
"14","2","11","Análisis e interpretación de la información",NULL,NULL,"2"
"15","2","13","Análisis e interpretación de la información",NULL,NULL,"6"
"16","2","14","Anexos",NULL,NULL,"7"
"17","3","15","Técnicas e instrumentos",NULL,NULL,"8"
"18","3","1","Técnicas e instrumentos",NULL,NULL,"1"
"19","3","16","Técnicas e instrumentos",NULL,NULL,"4"
"20","3","2","Análisis e interpretación de la información",NULL,NULL,"2"
"21","3","12","Análisis e interpretación de la información",NULL,NULL,"2"
"22","3","11","Análisis e interpretación de la información",NULL,NULL,"2"
"23","3","17","Técnicas e instrumentos",NULL,NULL,"9"
"24","5","2","Análisis e interpretación de la información",NULL,NULL,"2"
"25","5","18","Análisis e interpretación de la información",NULL,NULL,"2"
"26","5","6","Análisis e interpretación de la información",NULL,NULL,"3"
"27","5","19","Técnicas e instrumentos",NULL,NULL,"10"
"28","5","20","Técnicas e instrumentos",NULL,NULL,"11"
"29","5","1","Técnicas e instrumentos",NULL,NULL,"1"
"30","6","8","Técnicas e instrumentos",NULL,NULL,"2"
"31","6","1","Técnicas e instrumentos",NULL,NULL,"1"
"32","6","3","Análisis e interpretación de la información",NULL,NULL,"2"
"33","6","4","Análisis e interpretación de la información",NULL,NULL,"2"
"34","6","2","Análisis e interpretación de la información",NULL,NULL,"2"
"35","6","12","Análisis e interpretación de la información",NULL,NULL,"2"
"36","6","11","Análisis e interpretación de la información",NULL,NULL,"2"
"37","6","5","Análisis e interpretación de la información",NULL,NULL,"2"
"38","6","6","Análisis e interpretación de la información",NULL,NULL,"2"
"39","7","1","Técnicas e instrumentos",NULL,NULL,"1"
"40","7","20","Técnicas e instrumentos",NULL,NULL,"11"
"41","7","10","Técnicas e instrumentos",NULL,NULL,"12"
"42","7","12","Análisis e interpretación de la información",NULL,NULL,"2"
"43","7","6","Análisis e interpretación de la información",NULL,NULL,"2"
"44","7","21","Técnicas e instrumentos",NULL,NULL,"13"
"45","7","22","Técnicas e instrumentos",NULL,NULL,"14"
"46","8","1","Técnicas e instrumentos",NULL,NULL,"1"
"47","8","12","Análisis e interpretación de la información",NULL,NULL,"2"
"48","8","13","Análisis e interpretación de la información",NULL,NULL,"15"
"49","9","1","Técnicas e instrumentos",NULL,NULL,"1"
"50","9","23","Técnicas e instrumentos",NULL,NULL,"5"
"51","9","12","Análisis e interpretación de la información",NULL,NULL,"2"
"52","9","24","Análisis e interpretación de la información",NULL,NULL,"2"
"53","9","2","Análisis e interpretación de la información",NULL,NULL,"2"
"54","9","25","Análisis e interpretación de la información",NULL,NULL,"16"
"55","11","6","Técnicas e instrumentos",NULL,NULL,"17"
"56","11","5","Técnicas e instrumentos",NULL,NULL,"17"
"57","11","5","Análisis e interpretación de la información",NULL,NULL,"18"
"58","12","7","Técnicas e instrumentos",NULL,NULL,"2"
"59","12","26","Técnicas e instrumentos",NULL,NULL,"2"
"60","12","12","Análisis e interpretación de la información",NULL,NULL,"2"
"61","12","11","Análisis e interpretación de la información",NULL,NULL,"2"
"62","12","13","Análisis e interpretación de la información",NULL,NULL,"15"
"63","13","1","Técnicas e instrumentos",NULL,NULL,"19"
"64","13","20","Técnicas e instrumentos",NULL,NULL,"20"
"65","13","22","Técnicas e instrumentos",NULL,NULL,"2"
"66","13","21","Técnicas e instrumentos",NULL,NULL,"2"
"67","13","28","Técnicas e instrumentos",NULL,NULL,"2"
"68","13","5","Técnicas e instrumentos",NULL,NULL,"2"
"69","13","2","Análisis e interpretación de la información",NULL,NULL,"2"
"70","13","6","Análisis e interpretación de la información",NULL,NULL,"3"
"71","14","1","Técnicas e instrumentos",NULL,NULL,"21"
"72","14","11","Análisis e interpretación de la información",NULL,NULL,"2"
"73","14","12","Análisis e interpretación de la información",NULL,NULL,"2"
"74","15","1","Técnicas e instrumentos",NULL,NULL,"1"
"75","15","2","Análisis e interpretación de la información",NULL,NULL,"2"
"76","15","13","Análisis e interpretación de la información",NULL,NULL,"22"
"77","16","23","Técnicas e instrumentos",NULL,NULL,"2"
"78","16","1","Técnicas e instrumentos",NULL,NULL,"1"
"79","16","29","Técnicas e instrumentos",NULL,NULL,"5"
"80","16","12","Análisis e interpretación de la información",NULL,NULL,"2"
"81","16","11","Análisis e interpretación de la información",NULL,NULL,"2"
"82","16","2","Análisis e interpretación de la información",NULL,NULL,"2"
"83","17","13","Técnicas e instrumentos",NULL,NULL,"5"
"84","17","1","Técnicas e instrumentos",NULL,NULL,"1"
"85","17","12","Análisis e interpretación de la información",NULL,NULL,"2"
"86","17","2","Análisis e interpretación de la información",NULL,NULL,"2"
"87","17","11","Análisis e interpretación de la información",NULL,NULL,"2"
"88","17","14","Anexos",NULL,NULL,"2"
"89","18","1","Técnicas e instrumentos",NULL,NULL,"1"
"90","18","22","Técnicas e instrumentos",NULL,NULL,"5"
"91","18","30","Técnicas e instrumentos",NULL,NULL,"23"
"92","18","2","Población y muestra",NULL,NULL,"2"
"93","18","2","Análisis e interpretación de la información",NULL,NULL,"2"
"94","18","13","Análisis e interpretación de la información",NULL,NULL,"24"
"95","18","12","Análisis e interpretación de la información",NULL,NULL,"2"
"96","18","11","Análisis e interpretación de la información",NULL,NULL,"2"
"97","19","1","Técnicas e instrumentos",NULL,NULL,"1"
